date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2022-08-18,3,13,0,0,low,13,high,1882.37,1821.25,1834.24,1846.39,0.006623996859734872
2022-08-19,4,0,23,0,high,23,low,1848.0,1602.37,1846.39,1609.01,-0.12856438780539328
2022-08-20,5,4,21,4,high,21,low,1657.08,1523.67,1609.0,1576.04,-0.020484773151025506
2022-08-21,6,21,7,7,low,21,high,1646.52,1562.34,1576.03,1618.13,0.026712689479261267
2022-08-22,0,23,8,8,low,23,high,1629.72,1529.92,1618.13,1624.66,0.004035522485832394
2022-08-23,1,18,6,6,low,18,high,1676.07,1563.76,1624.65,1665.41,0.025088480595820632
2022-08-24,2,16,3,3,low,16,high,1694.13,1604.92,1665.4,1656.56,-0.005308034105920587
2022-08-25,3,14,0,0,low,14,high,1722.0,1653.68,1656.56,1695.11,0.023271116047713307
2022-08-26,4,13,23,13,high,23,low,1706.45,1486.85,1695.11,1508.18,-0.11027602928423515
2022-08-27,5,1,16,1,high,16,low,1518.42,1447.52,1508.18,1491.06,-0.01135143020063926
2022-08-28,6,2,23,2,high,23,low,1511.0,1424.0,1491.06,1426.76,-0.04312368382224723
2022-08-29,0,23,0,0,low,23,high,1559.99,1422.08,1426.76,1551.8,0.08763912641229075
2022-08-30,1,10,17,10,high,17,low,1606.13,1473.61,1551.79,1524.59,-0.017528144916515796
2022-08-31,2,4,0,0,low,4,high,1619.78,1524.59,1524.59,1554.1,0.0193560235866692
2022-09-01,3,22,15,15,low,22,high,1599.0,1512.77,1554.11,1586.16,0.020622735842379357
2022-09-02,4,14,19,14,high,19,low,1650.0,1546.41,1586.17,1575.35,-0.006821463020987765
2022-09-03,5,0,7,0,high,7,low,1582.71,1534.28,1575.35,1557.46,-0.011356206557272907
2022-09-04,6,12,8,8,low,12,high,1583.66,1540.66,1557.45,1579.28,0.014016501332305966
2022-09-05,0,23,5,5,low,23,high,1631.99,1556.56,1579.29,1617.8,0.02438437525723584
2022-09-06,1,12,20,12,high,20,low,1687.4,1555.0,1617.8,1559.01,-0.036339473358882414
2022-09-07,2,22,2,2,low,22,high,1657.5,1490.66,1559.01,1630.0,0.04553530766319652
2022-09-08,3,20,7,7,low,20,high,1663.56,1595.06,1630.0,1635.37,0.003294478527607295
2022-09-09,4,12,0,0,low,12,high,1746.13,1630.51,1635.37,1718.23,0.0506674330579625
2022-09-10,5,23,0,0,low,23,high,1789.0,1706.03,1718.24,1774.12,0.032521650060526985
2022-09-11,6,17,21,17,high,21,low,1789.0,1720.1,1774.12,1766.11,-0.004514914436452997
2022-09-12,0,1,16,1,high,16,low,1783.0,1693.0,1766.12,1716.37,-0.028169093832808644
