date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2025-07-09,2,19,4,4,low,19,high,111999.79,108324.53,108922.99,111233.99,0.02121682484111022
2025-07-10,3,21,13,13,low,21,high,116868.0,110500.0,111234.0,116010.0,0.04293651221748746
2025-07-11,4,9,0,0,low,9,high,118869.98,115222.22,116010.01,117527.66,0.013082060763549704
2025-07-12,5,9,15,9,high,15,low,118200.0,116900.05,117527.66,117420.0,-0.0009160396795103679
2025-07-13,6,19,1,1,low,19,high,119488.0,117224.79,117420.0,119086.64,0.014193834099812633
2025-07-14,0,7,1,1,low,7,high,123218.0,118905.18,119086.65,119841.18,0.006335974687338999
2025-07-15,1,0,14,0,high,14,low,119940.83,115736.92,119841.17,117758.09,-0.017382006534148505
2025-07-16,2,21,2,2,low,21,high,120063.84,117017.29,117758.08,118630.43,0.0074079842334385144
2025-07-17,3,21,12,12,low,21,high,120998.71,117453.57,118630.44,119177.56,0.004611969744021815
2025-07-18,4,6,20,6,high,20,low,120820.71,116812.76,119177.56,117924.84,-0.01051137479236864
2025-07-19,5,11,21,11,high,21,low,118499.9,117277.34,117924.84,117840.0,-0.0007194412983727305
2025-07-20,6,16,22,16,high,22,low,118856.8,116467.02,117840.01,117265.12,-0.004878563740787187
2025-07-21,0,7,0,0,low,7,high,119676.73,116515.0,117265.11,117380.36,0.0009828157752975288
2025-07-22,1,23,1,1,low,23,high,120247.8,116128.0,117380.36,119954.42,0.021929222231044425
2025-07-23,2,0,14,0,high,14,low,120090.0,117301.0,119954.43,118755.99,-0.009990794004022927
2025-07-24,3,15,7,7,low,15,high,119450.0,117103.1,118756.0,118340.99,-0.00349464448112091
2025-07-25,4,0,7,0,high,7,low,118451.57,114723.16,118340.98,117614.31,-0.006140476443578533
2025-07-26,5,19,1,1,low,19,high,118297.35,117138.38,117614.31,117919.99,0.0025990034716014366
2025-07-27,6,22,0,0,low,22,high,119766.65,117825.5,117919.99,119415.55,0.012682836896441372
2025-07-28,0,2,18,2,high,18,low,119800.0,117427.5,119415.56,118062.32,-0.011332191550246808
2025-07-29,1,7,16,7,high,16,low,119273.36,116950.75,118062.32,117950.76,-0.0009449246804570012
2025-07-30,2,15,19,15,high,19,low,118792.0,115796.23,117950.75,117840.3,-0.0009364077803659331
2025-07-31,3,7,23,7,high,23,low,118922.45,115500.0,117840.29,115764.08,-0.01761884666101884
2025-08-01,4,3,22,3,high,22,low,116052.0,112722.58,115764.07,113297.93,-0.021303155633695444
2025-08-02,5,5,19,5,high,19,low,114063.49,112003.0,113297.92,112546.35,-0.006633572796393724
2025-08-03,6,19,0,0,low,19,high,114799.97,111920.0,112546.35,114208.8,0.014771247579330623
2025-08-04,0,17,0,0,low,17,high,115720.0,114107.6,114208.81,115055.03,0.0074094108852022994
2025-08-05,1,0,14,0,high,14,low,115127.81,112650.0,115055.03,114129.75,-0.008042064740672344
2025-08-06,2,18,4,4,low,18,high,115716.0,113355.13,114129.75,114992.27,0.007557363439418767
2025-08-07,3,22,4,4,low,22,high,117621.0,114259.0,114992.27,117472.01,0.02156440602485707
2025-08-08,4,0,15,0,high,15,low,117630.0,115878.71,117472.02,116674.74,-0.006786977869283246
2025-08-09,5,10,3,3,low,10,high,117944.05,116299.13,116674.74,116462.25,-0.0018212168289383395
2025-08-10,6,23,0,0,low,23,high,119311.11,116460.63,116462.25,119294.01,0.024314831629991648
2025-08-11,0,5,21,5,high,21,low,122335.16,118050.11,119294.27,118686.0,-0.005098903744496731
2025-08-12,1,20,10,10,low,20,high,120324.43,118207.47,118686.0,120134.08,0.012200933555769018
2025-08-13,2,23,5,5,low,23,high,123667.79,118920.92,120134.09,123306.43,0.0264066594253138
2025-08-14,3,0,18,0,high,18,low,124474.0,117180.0,123306.44,118295.09,-0.04064142959605359
2025-08-15,4,6,16,6,high,16,low,119216.82,116803.99,118295.09,117342.05,-0.00805646286756275
2025-08-16,5,1,10,1,high,10,low,117898.99,117143.98,117342.04,117380.66,0.0003291233048275784
2025-08-17,6,13,1,1,low,13,high,118575.0,117172.21,117380.66,117405.01,0.0002074447357851904
2025-08-18,0,0,9,0,high,9,low,117543.75,114640.14,117405.01,116227.05,-0.010033302667407396
2025-08-19,1,1,23,1,high,23,low,116725.69,112732.58,116227.05,112872.94,-0.028858256318129046
2025-08-20,2,22,14,14,low,22,high,114615.38,112380.0,112872.95,114271.24,0.012388176263666433
2025-08-21,3,2,19,2,high,19,low,114821.76,112015.67,114271.23,112500.0,-0.01550022696001431
2025-08-22,4,18,12,12,low,18,high,117429.05,111684.79,112500.0,116935.99,0.03943102222222227
2025-08-23,5,0,15,0,high,15,low,117030.0,114560.0,116936.0,115438.05,-0.012809998631730152
2025-08-24,6,2,19,2,high,19,low,115666.68,110680.0,115438.06,113493.59,-0.016844271291461422
2025-08-25,0,3,21,3,high,21,low,113667.28,109274.1,113493.59,110111.98,-0.029795603434519966
2025-08-26,1,23,1,1,low,23,high,112371.0,108666.66,110111.98,111763.22,0.014996006792358154
2025-08-27,2,14,8,8,low,14,high,112625.0,110345.42,111763.22,111262.01,-0.0044845701474958075
2025-08-28,3,13,0,0,low,13,high,113485.9,110862.42,111262.01,112566.9,0.011728082208833002
2025-08-29,4,0,21,0,high,21,low,112638.64,107463.9,112566.9,108377.4,-0.03721786777463002
2025-08-30,5,15,1,1,low,15,high,108926.15,107350.1,108377.4,108816.33,0.004050014117334496
2025-08-31,6,1,23,1,high,23,low,109480.02,108076.93,108816.33,108246.35,-0.00523800058318449
2025-09-01,0,9,5,5,low,9,high,109912.4,107255.0,108246.36,109237.42,0.009155596548465903
2025-09-02,1,14,12,12,low,14,high,111771.52,108393.39,109237.43,111240.01,0.01833236098652268
2025-09-03,2,17,7,7,low,17,high,112575.27,110528.71,111240.01,111705.71,0.0041864433489354385
2025-09-04,3,0,15,0,high,15,low,112180.0,109329.12,111705.72,110730.87,-0.008726947912783748
2025-09-05,4,12,17,12,high,17,low,113384.62,110206.96,110730.87,110659.99,-0.000640110567179596
2025-09-06,5,3,16,3,high,16,low,111307.7,109977.0,110660.0,110187.97,-0.004265588288451101
2025-09-07,6,23,0,0,low,23,high,111600.0,110180.0,110187.98,111137.34,0.008615821798348609
2025-09-08,0,15,2,2,low,15,high,112924.37,110621.78,111137.35,112065.23,0.008348948395836234
2025-09-09,1,7,15,7,high,15,low,113293.29,110766.66,112065.23,111546.39,-0.004629803552805777
2025-09-10,2,13,1,1,low,13,high,114313.13,110917.45,111546.38,113960.0,0.021637815588457423
2025-09-11,3,23,13,13,low,23,high,115488.09,113430.0,113960.0,115482.69,0.013361618111618132
2025-09-12,4,19,12,12,low,19,high,116665.63,114740.99,115482.69,116029.42,0.004734302604139165
2025-09-13,5,0,16,0,high,16,low,116298.78,115127.27,116029.41,115918.29,-0.0009576882274934423
2025-09-14,6,9,23,9,high,23,low,116165.19,115135.0,115918.29,115268.01,-0.005609813602322799
2025-09-15,0,6,13,6,high,13,low,116757.99,114384.0,115268.01,115349.71,0.0007087829485389021
2025-09-16,1,22,13,13,low,22,high,116964.27,114737.11,115349.71,116788.96,0.012477274541912588
2025-09-17,2,6,18,6,high,18,low,117286.73,114720.81,116788.96,116447.59,-0.0029229646363835237
2025-09-18,3,18,0,0,low,18,high,117900.0,116092.76,116447.6,117073.53,0.0053752073894180125
2025-09-19,4,1,20,1,high,20,low,117459.99,115100.0,117073.53,115632.38,-0.012309785141013465
2025-09-20,5,15,3,3,low,15,high,116121.81,115408.47,115632.39,115685.63,0.0004604246266984989
2025-09-21,6,8,22,8,high,22,low,115819.06,115188.0,115685.63,115232.29,-0.003918723526854727
2025-09-22,0,0,6,0,high,6,low,115379.25,111800.0,115232.29,112650.99,-0.02240083920921808
2025-09-23,1,14,20,14,high,20,low,113290.5,111458.73,112650.99,111998.8,-0.005789474198140667
2025-09-24,2,17,4,4,low,17,high,113940.0,111042.66,111998.8,113307.0,0.011680482290881661
2025-09-25,3,0,18,0,high,18,low,113510.23,108631.51,113307.01,108994.49,-0.038060487166680944
2025-09-26,4,18,11,11,low,18,high,110300.0,108620.07,108994.49,109643.46,0.005954154196235068
2025-09-27,5,3,9,3,high,9,low,109743.91,109064.4,109643.46,109635.85,-6.940678449950943e-05
2025-09-28,6,23,12,12,low,23,high,112350.0,109189.99,109635.85,112163.95,0.023059063253488627
2025-09-29,0,20,7,7,low,20,high,114400.0,111560.65,112163.96,114311.96,0.019150536411160945
2025-09-30,1,1,10,1,high,10,low,114792.0,112656.27,114311.97,114048.93,-0.0023010713576190503
2025-10-01,2,23,0,0,low,23,high,118649.1,113966.67,114048.94,118594.99,0.03986051952784483
2025-10-02,3,19,5,5,low,19,high,121022.07,118279.31,118594.99,120529.35,0.01631063841735642
2025-10-03,4,16,8,8,low,16,high,123894.99,119248.3,120529.35,122232.0,0.014126434764644414
2025-10-04,5,5,18,5,high,18,low,122800.0,121510.0,122232.21,122391.0,0.0012990847502470388
2025-10-05,6,4,1,1,low,4,high,125708.42,122136.0,122390.99,123482.31,0.008916669437840093
2025-10-06,0,18,0,0,low,18,high,126199.63,123084.0,123482.32,124658.54,0.009525412220955895
2025-10-07,1,12,18,12,high,18,low,125126.0,120574.94,124658.54,121332.95,-0.02667759465175829
2025-10-08,2,18,4,4,low,18,high,124197.25,121066.14,121332.96,123306.0,0.016261368716299292
2025-10-09,3,12,17,12,high,17,low,123762.94,119651.47,123306.01,121662.4,-0.013329520596765726
2025-10-10,4,13,21,13,high,21,low,122550.0,102000.0,121662.41,112774.5,-0.07305387095323858
2025-10-11,5,3,21,3,high,21,low,113322.39,109561.59,112774.49,110644.4,-0.01888804817472472
2025-10-12,6,22,0,0,low,22,high,115770.0,109565.06,110644.4,114958.8,0.038993387826225356
2025-10-13,0,2,11,2,high,11,low,115963.81,113616.5,114958.81,115166.0,0.001802297709936301
2025-10-14,1,0,13,0,high,13,low,115409.96,109866.0,115166.0,113028.14,-0.018563291249153402
2025-10-15,2,2,17,2,high,17,low,113612.35,110164.0,113028.13,110763.28,-0.02003793215016479
2025-10-16,3,12,20,12,high,20,low,111982.45,107427.0,110763.28,108194.28,-0.02319360712322712
2025-10-17,4,3,10,3,high,10,low,109240.0,103528.23,108194.27,106431.68,-0.01629097363474065
2025-10-18,5,7,0,0,low,7,high,107499.0,106322.2,106431.68,107185.01,0.007078061719969109
2025-10-19,6,18,9,9,low,18,high,109450.07,106103.36,107185.0,108642.78,0.013600597098474589
2025-10-20,0,15,0,0,low,15,high,111705.56,107402.52,108642.77,110532.09,0.017390204612787324
2025-10-21,1,16,5,5,low,16,high,114000.0,107473.72,110532.09,108297.67,-0.020215124856500934
2025-10-22,2,15,21,15,high,21,low,109163.88,106666.69,108297.66,107567.44,-0.006742712631094718
2025-10-23,3,17,0,0,low,17,high,111293.61,107500.0,107567.45,110078.18,0.02334098279730528
2025-10-24,4,12,14,12,high,14,low,112104.98,109700.01,110078.19,111004.89,0.008418561388046052
2025-10-25,5,12,0,0,low,12,high,111943.19,110672.86,111004.9,111646.27,0.005777853049730327
2025-10-26,6,22,3,3,low,22,high,115466.8,111260.45,111646.27,114559.4,0.026092497313165857
2025-10-27,0,7,23,7,high,23,low,116400.0,113830.01,114559.41,114107.65,-0.0039434560635395145
2025-10-28,1,14,21,14,high,21,low,116086.0,112211.0,114107.65,112898.45,-0.01059701080514757
2025-10-29,2,13,18,13,high,18,low,113643.73,109200.0,112898.44,110021.29,-0.02548440881911219
2025-10-30,3,7,19,7,high,19,low,111592.0,106304.34,110021.3,108322.88,-0.01543719261633882
2025-10-31,4,15,0,0,low,15,high,111190.0,108275.28,108322.87,109608.01,0.011863976646852133
2025-11-01,5,4,0,0,low,4,high,110564.49,109394.81,109608.01,110098.1,0.004471297307560014
2025-11-02,6,12,22,12,high,22,low,111250.01,109471.34,110098.1,110540.68,0.004019869552698794
2025-11-03,0,0,16,0,high,16,low,110750.0,105306.56,110540.69,106583.04,-0.03580265330350307
2025-11-04,1,4,21,4,high,21,low,107299.0,98944.36,106583.05,101497.22,-0.04771706195309668
2025-11-05,2,20,1,1,low,20,high,104534.74,98966.8,101497.23,103885.16,0.023527046009038943
2025-11-06,3,4,16,4,high,16,low,104200.0,100300.95,103885.16,101346.04,-0.024441604556416044
2025-11-07,4,22,12,12,low,22,high,104096.36,99260.86,101346.04,103339.08,0.019665691920473738
2025-11-08,5,0,14,0,high,14,low,103406.22,101454.0,103339.09,102312.94,-0.009929930677732833
2025-11-09,6,23,3,3,low,23,high,105495.62,101400.0,102312.95,104722.96,0.023555278193034306
2025-11-10,0,1,0,0,low,1,high,106670.11,104265.02,104722.95,106011.13,0.012300837590996124
2025-11-11,1,1,21,1,high,21,low,107500.0,102476.09,106011.13,103058.99,-0.02784745337588609
2025-11-12,2,12,19,12,high,19,low,105333.33,100813.59,103059.0,101654.37,-0.013629377346956642
2025-11-13,3,7,20,7,high,20,low,104085.01,98000.4,101654.37,99692.02,-0.019304138130018328
2025-11-14,4,2,23,2,high,23,low,99866.02,94012.45,99692.03,94594.0,-0.05113778904893399
2025-11-15,5,3,0,0,low,3,high,96846.68,94558.49,94594.0,95596.24,0.01059517516967255
2025-11-16,6,9,22,9,high,22,low,96635.11,93005.55,95596.23,94261.44,-0.013962789118357426
